"date","butter","cheese","whey","milk"
2012-03-03,1.4234,1.4873,0.6065,1.3641
2012-03-10,1.415,1.4926,0.6195,1.3408
2012-03-17,1.4425,1.4955,0.6066,1.32585
2012-03-24,1.4519,1.5134,0.60985,1.31223333333333
2012-03-31,1.5001,1.5387,0.582266666666667,1.2819
2012-04-07,1.4753,1.5431,0.61315,1.26103333333333
2012-04-14,1.4481,1.519,0.5932,1.26695
2012-04-21,1.44045,1.5043,0.5921,1.24106666666667
2012-04-28,1.4268,1.503,0.56995,1.21773333333333
2012-05-05,1.4134,1.5167,0.56845,1.2168
2012-05-12,1.37255,1.5269,0.5289,1.147
2012-05-19,1.3352,1.5271,0.5426,1.14485
2012-05-26,1.345,1.521,0.52355,1.13173333333333
2012-06-02,1.3633,1.5163,0.5166,1.09623333333333
2012-06-09,1.36785,1.55175,0.5031,1.10494
2012-06-16,1.3877,1.5879,0.5066,1.10106666666667
2012-06-23,1.3981,1.6231,0.49705,1.10905
2012-06-30,1.4695,1.6346,0.48685,1.09775
2012-07-07,1.5048,1.6423,0.492666666666667,1.1604
2012-07-14,1.5383,1.64445,0.49535,1.15805
2012-07-21,1.54845,1.6488,0.51015,1.176
2012-07-28,1.5689,1.67655,0.509866666666667,1.2002
2012-08-04,1.6311,1.7114,0.520033333333333,1.21445
2012-08-11,1.66165,1.71705,0.52975,1.2453
2012-08-18,1.7154,1.7546,0.53975,1.2574
2012-08-25,1.7576,1.8119,0.54755,1.29573333333333
2012-09-01,1.7686,1.8469,0.56,1.32646666666667
2012-09-08,1.8037,1.8533,0.5748,1.3623
2012-09-15,1.8574,1.8515,0.58525,1.3806
2012-09-22,1.8436,1.8484,0.593166666666667,1.39385
2012-09-29,1.8788,1.8907,0.60645,1.4393
2012-10-06,1.907,1.9586,0.6107,1.44053333333333
2012-10-13,1.9315,2.0324,0.6156,1.4587
2012-10-20,1.9305,2.0889,0.6254,1.4718
2012-10-27,1.8947,2.0715,0.62985,1.486
2012-11-03,1.9019,2.0648,0.63865,1.4932
2012-11-10,1.8923,2.0783,0.6415,1.5057
2012-11-17,1.8784,2.05553333333333,0.647866666666667,1.51625
2012-11-24,1.855,1.99495,0.6537,1.5198
2012-12-01,1.7088,1.9197,0.65735,1.53055
2012-12-08,1.6351,1.8641,0.6632,1.5432
2012-12-15,1.5944,1.8141,0.65425,1.5456
2012-12-22,1.6017,1.7833,0.66755,1.5596
2012-12-29,1.5576,1.7648,0.6579,1.5193
2013-01-05,1.5344,1.74715,0.6481,1.5775
2013-01-12,1.5229,1.7542,0.656475,1.5482
